timestamp,job_duration,avg_duration,duration_ratio,failures_last_hour,time_since_last_success,dockerfile_modified,workflow_modified,suspicious_keywords_found,vulnerabilities_total,critical_vulns,new_vulnerabilities,secrets_detected,secret_file_count,aws_keys_found,status,anomaly
2025-03-30 19:35:05.348848,276.87,103.5,2.68,4,115.12,0,0,0,3,1,0,3,3,0,success,1
2025-04-01 04:29:05.348910,225.94,74.34,3.04,4,84.33,0,1,0,44,21,9,2,2,0,failure,1
2025-04-03 09:01:05.349027,346.53,150.99,2.3,0,49.0,0,0,0,32,1,10,2,2,0,failure,1
2025-04-01 07:07:05.349060,512.11,469.85,1.09,4,79.99,0,0,0,50,17,10,3,3,0,failure,1
2025-03-31 10:41:05.349081,483.21,98.56,4.9,2,107.59,0,0,0,48,20,2,3,3,0,success,1
2025-03-31 04:04:05.349102,71.74,137.35,0.52,4,91.29,0,0,0,31,5,6,1,1,0,failure,1
2025-04-02 14:06:05.349120,331.38,120.26,2.76,4,65.33,0,0,0,31,4,8,3,3,0,success,1
2025-03-30 23:06:05.349146,152.29,343.01,0.44,4,61.21,0,0,0,8,1,8,0,0,0,failure,1
2025-03-30 16:01:05.349175,434.01,181.47,2.39,0,63.16,1,0,4,33,9,7,0,0,0,failure,1
2025-04-01 00:14:05.349201,534.52,487.9,1.1,2,65.69,0,0,0,28,8,8,3,3,0,failure,1
2025-03-31 08:59:05.349221,217.54,181.98,1.2,4,42.93,0,0,0,46,19,2,3,3,0,failure,1
2025-04-01 19:23:05.349246,78.96,35.67,2.21,2,6.57,0,0,0,2,1,3,2,2,0,success,1
2025-04-01 23:13:05.349264,550.22,150.89,3.65,2,46.93,0,0,0,15,4,7,1,1,0,failure,1
2025-04-05 03:01:05.349282,395.07,432.09,0.91,3,37.56,0,0,0,18,0,10,0,0,0,failure,1
2025-04-01 08:36:05.349296,392.66,385.73,1.02,2,22.99,1,0,0,5,0,8,1,1,1,failure,1
2025-04-01 22:23:05.349308,45.93,85.69,0.54,0,85.43,0,0,0,47,1,6,0,0,0,success,0
2025-04-05 20:28:05.349318,317.74,475.51,0.67,0,112.51,0,0,0,8,1,7,3,3,0,failure,1
2025-03-31 14:32:05.349329,566.54,29.57,19.16,4,108.89,0,1,0,44,1,7,1,1,0,failure,1
2025-04-02 10:29:05.349338,425.96,150.39,2.83,2,110.81,1,0,2,10,2,4,3,3,0,success,1
2025-03-30 23:32:05.349349,309.16,82.75,3.74,2,61.2,0,0,0,8,0,10,2,2,0,failure,1
2025-04-02 09:04:05.349359,555.85,205.84,2.7,0,9.23,0,0,0,17,2,4,1,1,0,success,1
2025-04-02 15:44:05.349369,596.21,113.13,5.27,4,48.94,0,0,0,15,4,8,0,0,0,failure,1
2025-04-02 13:41:05.349378,543.62,479.81,1.13,4,11.31,0,1,0,3,1,1,2,2,0,success,1
2025-04-05 01:33:05.349388,500.34,223.16,2.24,3,14.06,0,0,0,24,11,2,3,3,0,failure,1
2025-03-31 07:30:05.349398,171.04,136.68,1.25,4,102.88,0,1,0,8,1,7,2,2,0,failure,1
2025-04-06 05:55:05.349407,34.66,484.05,0.07,4,38.22,1,0,4,18,2,3,1,1,0,failure,1
2025-04-03 18:43:05.349418,540.4,476.2,1.13,4,15.12,0,0,0,0,0,9,2,2,0,success,1
2025-04-02 19:59:05.349429,247.3,135.14,1.83,2,24.6,0,0,0,29,2,3,2,2,0,success,1
2025-04-02 20:05:05.349439,302.65,467.09,0.65,4,1.52,0,0,0,47,22,1,1,1,0,success,1
2025-04-02 14:57:05.349448,200.89,484.45,0.41,2,96.4,0,1,0,41,19,0,2,2,0,success,1
2025-04-04 14:24:05.349458,188.76,139.65,1.35,4,86.18,0,0,0,13,4,5,2,2,0,failure,1
2025-04-02 11:24:05.349471,358.42,404.11,0.89,1,28.47,0,0,0,23,4,1,0,0,0,success,0
2025-04-02 05:25:05.349484,455.72,363.22,1.25,1,90.51,0,0,0,32,1,5,1,1,0,failure,1
2025-04-04 11:03:05.349504,21.12,266.63,0.08,4,60.58,0,0,0,24,4,8,1,1,0,success,1
2025-04-02 10:30:05.349514,195.48,315.41,0.62,2,32.52,0,1,0,26,8,9,0,0,0,failure,0
2025-04-02 20:34:05.349524,210.68,172.91,1.22,2,13.92,0,0,0,35,8,6,3,3,0,success,1
2025-04-04 18:51:05.349534,157.29,378.42,0.42,2,74.98,0,0,0,42,15,1,3,3,0,success,1
2025-04-05 16:44:05.349544,513.93,264.12,1.95,2,21.16,0,0,0,11,5,3,0,0,0,success,0
2025-04-06 09:29:05.349553,153.18,438.98,0.35,2,118.6,0,0,0,34,11,1,2,2,0,failure,1
2025-04-03 22:18:05.349563,211.97,49.92,4.25,1,20.09,0,0,0,0,0,3,2,2,0,failure,1
2025-04-05 17:18:05.349573,201.98,74.4,2.71,3,89.93,0,0,0,44,5,4,2,2,0,success,1
2025-04-04 15:50:05.349583,267.26,202.25,1.32,2,89.87,0,0,0,41,12,1,1,1,0,failure,1
2025-03-31 07:17:05.349593,124.03,412.29,0.3,2,6.62,0,0,0,31,2,10,0,0,0,success,0
2025-04-01 15:15:05.349607,150.4,485.84,0.31,2,56.59,0,0,0,34,1,10,1,1,0,success,1
2025-04-05 04:09:05.349617,365.52,429.72,0.85,4,30.18,1,0,3,11,4,5,1,1,0,failure,1
2025-04-01 18:03:05.349627,137.39,50.76,2.71,0,114.79,0,0,0,42,16,4,0,0,0,failure,1
2025-04-03 07:59:05.349636,207.32,127.39,1.63,3,116.41,0,0,0,20,7,2,3,3,0,failure,1
2025-04-03 07:51:05.349646,71.71,367.21,0.2,1,116.6,0,0,0,2,1,2,3,3,0,success,1
2025-03-31 15:15:05.349656,440.54,98.15,4.49,2,33.69,1,0,3,29,5,8,2,2,0,success,1
2025-03-31 04:23:05.349666,139.16,293.24,0.47,1,84.09,0,0,0,46,10,4,2,2,1,success,1
2025-04-01 17:25:05.349676,596.75,24.84,24.02,4,56.24,0,0,0,30,7,0,2,2,0,failure,1
2025-03-31 13:59:05.349685,72.06,153.32,0.47,4,55.21,0,0,0,15,1,1,0,0,0,failure,1
2025-04-04 01:06:05.349695,534.67,169.22,3.16,1,103.51,0,0,0,1,0,7,3,3,0,success,1
2025-04-01 05:24:05.349706,57.83,297.42,0.19,0,19.7,0,0,0,14,7,0,2,2,0,failure,1
2025-03-30 22:37:05.349716,533.85,150.02,3.56,4,98.79,0,0,0,38,19,9,1,1,0,failure,1
2025-04-04 22:17:05.349725,230.9,359.31,0.64,1,60.18,0,0,0,42,18,6,3,3,0,failure,1
2025-04-02 15:03:05.349735,269.51,253.27,1.06,0,80.2,0,0,0,14,1,0,3,3,0,success,1
2025-04-04 17:03:05.349747,489.28,414.68,1.18,1,59.04,0,0,0,17,4,8,0,0,0,failure,0
2025-04-06 11:44:05.349756,126.87,167.63,0.76,1,87.58,0,0,0,19,5,6,2,2,0,failure,1
2025-04-05 00:10:05.349766,178.33,433.91,0.41,0,44.9,0,0,0,8,1,7,0,0,1,success,0
2025-04-01 16:58:05.349779,319.88,447.19,0.72,3,38.85,0,0,0,18,1,9,1,1,0,failure,1
2025-04-04 11:55:05.349789,433.41,56.57,7.66,4,29.69,0,0,0,39,2,8,1,1,0,failure,1
2025-03-31 12:29:05.349799,316.42,442.85,0.71,0,58.92,0,0,0,5,2,4,2,2,0,failure,1
2025-04-03 12:31:05.349811,455.8,268.64,1.7,4,40.46,0,0,0,8,3,2,2,2,0,failure,1
2025-03-31 09:16:05.349821,80.27,341.55,0.24,4,69.79,0,0,0,1,0,1,0,0,0,success,1
2025-04-01 01:45:05.349831,549.87,403.96,1.36,4,52.99,0,0,0,28,6,3,0,0,0,failure,1
2025-04-02 22:30:05.349841,401.37,338.04,1.19,0,110.85,0,0,0,25,9,10,2,2,0,failure,1
2025-04-01 13:02:05.349850,359.97,114.44,3.15,2,56.62,1,0,4,17,4,2,1,1,0,success,1
2025-03-31 11:34:05.349860,271.63,262.34,1.04,1,107.62,0,0,0,38,9,4,1,1,0,success,1
2025-04-06 08:09:05.349869,597.56,28.1,21.27,2,24.34,0,0,0,39,3,3,1,1,0,success,1
2025-03-31 21:29:05.349879,589.17,53.74,10.96,4,94.41,1,0,0,8,3,0,3,3,0,failure,1
2025-03-30 23:25:05.349889,75.19,308.86,0.24,2,105.92,1,0,2,29,13,3,0,0,0,success,1
2025-04-06 03:43:05.349899,523.13,298.95,1.75,1,104.46,0,0,0,26,11,5,0,0,0,success,1
2025-03-30 20:34:05.349909,117.93,368.7,0.32,2,100.5,0,0,0,20,8,9,0,0,0,success,0
2025-04-03 02:06:05.349918,360.96,158.69,2.27,3,77.67,1,0,1,38,0,3,0,0,0,failure,1
2025-04-06 04:01:05.349947,209.74,415.9,0.5,3,85.71,0,0,0,31,9,6,0,0,0,success,1
2025-04-02 12:28:05.349963,162.73,374.1,0.43,1,89.62,0,0,0,46,15,8,3,3,0,failure,1
2025-04-06 09:31:05.349991,143.77,358.15,0.4,3,62.52,0,0,0,18,9,0,3,3,0,failure,1
2025-03-30 18:11:05.350025,116.88,450.79,0.26,0,50.55,0,1,0,32,6,2,2,2,0,failure,1
2025-03-30 14:59:05.350046,339.51,352.24,0.96,1,47.94,1,0,4,23,1,5,0,0,0,failure,1
2025-03-30 15:18:05.350074,447.53,40.1,11.16,4,69.79,0,0,0,48,15,7,3,3,0,failure,1
2025-04-03 13:18:05.350095,428.6,154.3,2.78,4,96.63,0,0,0,2,1,6,0,0,0,success,1
2025-04-02 02:19:05.350114,26.18,46.07,0.57,4,2.67,0,0,0,23,1,7,1,1,0,success,1
2025-04-03 03:05:05.350133,193.14,126.46,1.53,0,25.56,0,0,0,15,1,6,3,3,0,success,1
